
 eiger (login-i15) : TURBOMOLE rev. V7.5.0 compiled 13 Jun 2020 at 23:29:25
 Copyright (C) 2020 TURBOMOLE GmbH, Karlsruhe


    2020-09-30 10:51:53.764 

                                                                                
  
Total energy =  -3298.1703410620 H =    -89747.7863104 eV
 
 HOMO-LUMO Separation
   HOMO:   401. a 201 a     -0.11382830 H =     -3.09743 eV
   LUMO:   402. a 202 a     -0.06581233 H =     -1.79084 eV
   Gap :                    +0.04801597 H =     +1.30658 eV
 
Number of MOs=   2256, Electrons=    401.00, Symmetry: c1   
 
   Nr.   Orbital    Occupation       Energy
 2256. b1128 a                    +85.723056 H =     +2332.643 eV
 2255. a1128 a                    +85.715243 H =     +2332.431 eV
 2254. b1127 a                    +65.904259 H =     +1793.346 eV
 2253. a1127 a                    +65.904078 H =     +1793.341 eV
 2252. b1126 a                    +65.900010 H =     +1793.231 eV
 2251. a1126 a                    +65.899829 H =     +1793.226 eV
 2250. b1125 a                    +24.763711 H =      +673.855 eV
 2249. a1125 a                    +24.749972 H =      +673.481 eV
 2248. b1124 a                    +19.435105 H =      +528.856 eV
 2247. a1124 a                    +19.434520 H =      +528.840 eV
 2246. b1123 a                    +19.238953 H =      +523.519 eV
 2245. a1123 a                    +19.238455 H =      +523.505 eV
 2244. b1122 a                    +19.236248 H =      +523.445 eV
 2243. a1122 a                    +19.235769 H =      +523.432 eV
 2242. b1121 a                    +19.130990 H =      +520.581 eV
 2241. a1121 a                    +19.130486 H =      +520.567 eV
 2240. b1120 a                    +18.709652 H =      +509.116 eV
 2239. a1120 a                    +18.709295 H =      +509.106 eV
 2238. b1119 a                    +18.693890 H =      +508.687 eV
 2237. a1119 a                    +18.693538 H =      +508.677 eV
 2236. b1118 a                     +9.368486 H =      +254.929 eV
 2235. a1118 a                     +9.367533 H =      +254.904 eV
 2234. b1117 a                     +9.264801 H =      +252.108 eV
 2233. a1117 a                     +9.263904 H =      +252.084 eV
 2232. b1116 a                     +9.242716 H =      +251.507 eV
 2231. a1116 a                     +9.241813 H =      +251.483 eV
 2230. b1115 a                     +9.241399 H =      +251.471 eV
 2229. a1115 a                     +9.240487 H =      +251.446 eV
 2228. b1114 a                     +9.193290 H =      +250.162 eV
 2227. a1114 a                     +9.191669 H =      +250.118 eV
 2226. b1113 a                     +9.183868 H =      +249.906 eV
 2225. a1113 a                     +9.182278 H =      +249.863 eV
 2224. b1112 a                     +9.148598 H =      +248.946 eV
 2223. a1112 a                     +9.146724 H =      +248.895 eV
 2222. b1111 a                     +9.128144 H =      +248.389 eV
 2221. a1111 a                     +9.126232 H =      +248.337 eV
 2220. b1110 a                     +9.091690 H =      +247.397 eV
 2219. a1110 a                     +9.091529 H =      +247.393 eV
 2218. b1109 a                     +9.091111 H =      +247.382 eV
 2217. a1109 a                     +9.090948 H =      +247.377 eV
 2216. b1108 a                     +9.041484 H =      +246.031 eV
 2215. a1108 a                     +9.041299 H =      +246.026 eV
 2214. b1107 a                     +9.039785 H =      +245.985 eV
 2213. a1107 a                     +9.039568 H =      +245.979 eV
 2212. b1106 a                     +3.311239 H =       +90.103 eV
 2211. a1106 a                     +3.311231 H =       +90.103 eV
 2210. b1105 a                     +3.310813 H =       +90.092 eV
 2209. a1105 a                     +3.310804 H =       +90.092 eV
 2208. b1104 a                     +3.302480 H =       +89.865 eV
 2207. a1104 a                     +3.302452 H =       +89.864 eV
 2206. b1103 a                     +3.302424 H =       +89.864 eV
 2205. a1103 a                     +3.302400 H =       +89.863 eV
 2204. b1102 a                     +3.235289 H =       +88.037 eV
 2203. a1102 a                     +3.235250 H =       +88.036 eV
 2202. b1101 a                     +3.235206 H =       +88.034 eV
 2201. a1101 a                     +3.235181 H =       +88.034 eV
 2200. b1100 a                     +3.228587 H =       +87.854 eV
 2199. a1100 a                     +3.228536 H =       +87.853 eV
 2198. b1099 a                     +3.227958 H =       +87.837 eV
 2197. a1099 a                     +3.227893 H =       +87.835 eV
 2196. b1098 a                     +3.219783 H =       +87.615 eV
 2195. a1098 a                     +3.219718 H =       +87.613 eV
 2194. b1097 a                     +3.218713 H =       +87.586 eV
 2193. a1097 a                     +3.218681 H =       +87.585 eV
 2192. b1096 a                     +3.217711 H =       +87.558 eV
 2191. a1096 a                     +3.217703 H =       +87.558 eV
 2190. a1095 a                     +3.217262 H =       +87.546 eV
 2189. b1095 a                     +3.217254 H =       +87.546 eV
 2188. b1094 a                     +3.186529 H =       +86.710 eV
 2187. b1093 a                     +3.184985 H =       +86.668 eV
 2186. a1094 a                     +3.178228 H =       +86.484 eV
 2185. a1093 a                     +3.176800 H =       +86.445 eV
 2184. b1092 a                     +3.173718 H =       +86.361 eV
 2183. a1092 a                     +3.164143 H =       +86.101 eV
 2182. b1091 a                     +3.151294 H =       +85.751 eV
 2181. a1091 a                     +3.151069 H =       +85.745 eV
 2180. b1090 a                     +3.145092 H =       +85.582 eV
